product_id,name,price,catalog_id,created_at,updated_at
1, Washing Machine,499.99,1,2025-08-01 12:00:00,2025-08-10 15:00:00
2,smart TV,799.99,2,2025-08-02 10:30:00,2025-08-09 17:00:00
3,  cotton Shirt,,3,2025-08-03 12:45:00,2025-08-08 14:20:00
4,BLENDER,149.99,1,2025-08-01 13:15:00,2025-08-10 16:10:00
5, wireless Headphones,,2,2025-08-02 11:00:00,2025-08-09 18:30:00
6,Jeans,59.99,3,2025-08-03 13:30:00,2025-08-08 15:40:00
7,Refrigerator,999.99,1,2025-08-01 14:00:00,2025-08-10 17:00:00
8, Laptop,1299.99,2,2025-08-02 12:15:00,2025-08-09 19:00:00
9,T-shirt,,3,2025-08-03 14:45:00,2025-08-08 16:20:00
10,  Coffee Maker,89.99,1,2025-08-01 15:30:00,2025-08-10 18:10:00
11,Smartphone,699.99,2,2025-08-02 13:00:00,2025-08-09 20:30:00
12, Hoodie,49.99,3,2025-08-03 15:15:00,2025-08-08 17:40:00
13,Dishwasher,599.99,1,2025-08-01 16:00:00,2025-08-10 19:00:00
14, Wireless Mouse,,2,2025-08-02 14:30:00,2025-08-09 21:00:00
15,Skirt,39.99,3,2025-08-03 16:45:00,2025-08-08 18:20:00
16,Sofa,799.99,4,2025-08-04 09:00:00,2025-08-07 13:00:00
17,Dining Table,499.99,4,2025-08-04 10:15:00,2025-08-07 14:10:00
18,Bookshelf,,4,2025-08-04 11:30:00,2025-08-07 15:20:00
19,  Cutlery Set,29.99,5,2025-08-05 15:00:00,2025-08-06 16:30:00
20,Non-stick Pan,49.99,5,2025-08-05 16:15:00,2025-08-06 17:40:00
21,Toaster,39.99,1,2025-08-01 17:00:00,2025-08-10 20:00:00
22,  Tablet,399.99,2,2025-08-02 15:45:00,2025-08-09 22:00:00
23,Jacket,,3,2025-08-03 17:30:00,2025-08-08 19:40:00
24,Microwave Oven,129.99,1,2025-08-01 18:15:00,2025-08-10 21:10:00
25,Keyboard,59.99,2,2025-08-02 16:00:00,2025-08-09 23:30:00
26, Dress,69.99,3,2025-08-03 18:45:00,2025-08-08 20:20:00
27,Air Conditioner,699.99,1,2025-08-01 19:00:00,2025-08-10 22:00:00
28,Smart Watch,,2,2025-08-02 17:15:00,2025-08-10 00:00:00
29, Shorts,34.99,3,2025-08-03 19:30:00,2025-08-08 21:40:00
30,Coffee Table,199.99,4,2025-08-04 12:00:00,2025-08-07 16:30:00
31,Armchair,299.99,4,2025-08-04 13:15:00,2025-08-07 17:40:00
32, Knife Set,,5,2025-08-05 17:30:00,2025-08-06 18:50:00
33,Cookware Set,149.99,5,2025-08-05 18:45:00,2025-08-06 19:00:00
34,Vacuum Cleaner,199.99,1,2025-08-01 20:00:00,2025-08-10 23:00:00
35, Gaming Console,499.99,2,2025-08-02 18:30:00,2025-08-10 01:00:00
36,Sweater,54.99,3,2025-08-03 20:15:00,2025-08-08 22:20:00
37,Air Fryer,119.99,1,2025-08-01 21:00:00,2025-08-11 00:00:00
38,  Bluetooth Speaker,,2,2025-08-02 19:45:00,2025-08-10 02:00:00
39,Socks,9.99,3,2025-08-03 21:30:00,2025-08-08 23:40:00
40,Bed Frame,399.99,4,2025-08-04 14:30:00,2025-08-07 18:50:00
41,Wardrobe,599.99,4,2025-08-04 15:45:00,2025-08-07 19:00:00
42, Mixing Bowl,19.99,5,2025-08-05 19:00:00,2025-08-06 20:10:00
43,Glassware Set,34.99,5,2025-08-05 20:15:00,2025-08-06 21:20:00
44,Iron,49.99,1,2025-08-01 22:00:00,2025-08-11 01:00:00
45,  Router,99.99,2,2025-08-02 20:30:00,2025-08-10 03:00:00
46,Scarf,,3,2025-08-03 22:45:00,2025-08-09 00:20:00
47,Heater,89.99,1,2025-08-01 23:00:00,2025-08-11 02:00:00
48,External Hard Drive,129.99,2,2025-08-02 21:15:00,2025-08-10 04:00:00
49, Belt,24.99,3,2025-08-03 23:30:00,2025-08-09 01:40:00
50,Mattress,499.99,4,2025-08-04 16:00:00,2025-08-07 20:10:00